MariaDB [kokiri_apr23]> select distinct revision, branch from test_run where length(revision)<6 order by 2,1;
+----------+---------------------------------+
| revision | branch                          |
| 3874     | 10.0-connect                    |
| 3875     | 10.0-connect                    |
| 3876     | 10.0-connect                    |
| 3877     | 10.0-connect                    |
| 3878     | 10.0-connect                    |
| 3879     | 10.0-connect                    |
| 3880     | 10.0-connect                    |
| 3881     | 10.0-connect                    |
| 3882     | 10.0-connect                    |
| 3883     | 10.0-connect                    |
| 3913     | 10.0-connect                    |
| 3914     | 10.0-connect                    |
| 3915     | 10.0-connect                    |
| 3917     | 10.0-connect                    |
| 3918     | 10.0-connect                    |
| 3919     | 10.0-connect                    |
| 3920     | 10.0-connect                    |
| 3921     | 10.0-connect                    |
| 3922     | 10.0-connect                    |
| 3923     | 10.0-connect                    |
| 3924     | 10.0-connect                    |
| 3925     | 10.0-connect                    |
| 3926     | 10.0-connect                    |
| 3927     | 10.0-connect                    |
| 3928     | 10.0-connect                    |
| 3929     | 10.0-connect                    |
| 3930     | 10.0-connect                    |
| 3931     | 10.0-connect                    |
| 3939     | 10.0-connect                    |
| 3940     | 10.0-connect                    |
| 3966     | 10.0-connect                    |
| 3967     | 10.0-connect                    |
| 3968     | 10.0-connect                    |
| 3969     | 10.0-connect                    |
| 3984     | 10.0-connect                    |
| 3985     | 10.0-connect                    |
| 3986     | 10.0-connect                    |
| 3987     | 10.0-connect                    |
| 3988     | 10.0-connect                    |
| 3989     | 10.0-connect                    |
| 3990     | 10.0-connect                    |
| 3991     | 10.0-connect                    |
| 3992     | 10.0-connect                    |
| 3993     | 10.0-connect                    |
| 3994     | 10.0-connect                    |
| 3995     | 10.0-connect                    |
| 3996     | 10.0-connect                    |
| 3997     | 10.0-connect                    |
| 3998     | 10.0-connect                    |
| 3999     | 10.0-connect                    |
| 4000     | 10.0-connect                    |
| 4001     | 10.0-connect                    |
| 4002     | 10.0-connect                    |
| 4003     | 10.0-connect                    |
| 4004     | 10.0-connect                    |
| 4005     | 10.0-connect                    |
| 4006     | 10.0-connect                    |
| 4007     | 10.0-connect                    |
| 4008     | 10.0-connect                    |
| 4009     | 10.0-connect                    |
| 4010     | 10.0-connect                    |
| 4145     | 10.0-elenst                     |
| 3967     | 10.0-FusionIO                   |
| 3970     | 10.0-FusionIO                   |
| 3971     | 10.0-FusionIO                   |
| 3432     | 10.0-knielsen                   |
| 3435     | 10.0-knielsen                   |
| 3470     | 10.0-knielsen                   |
| 3487     | 10.0-knielsen                   |
| 3488     | 10.0-knielsen                   |
| 3489     | 10.0-knielsen                   |
| 3490     | 10.0-knielsen                   |
| 3547     | 10.0-knielsen                   |
| 3602     | 10.0-knielsen                   |
| 3607     | 10.0-knielsen                   |
| 3645     | 10.0-knielsen                   |
| 3651     | 10.0-knielsen                   |
| 3652     | 10.0-knielsen                   |
| 3653     | 10.0-knielsen                   |
| 3654     | 10.0-knielsen                   |
| 3655     | 10.0-knielsen                   |
| 3656     | 10.0-knielsen                   |
| 3657     | 10.0-knielsen                   |
| 3658     | 10.0-knielsen                   |
| 3659     | 10.0-knielsen                   |
| 3660     | 10.0-knielsen                   |
| 3661     | 10.0-knielsen                   |
| 3662     | 10.0-knielsen                   |
| 3665     | 10.0-knielsen                   |
| 3666     | 10.0-knielsen                   |
| 3667     | 10.0-knielsen                   |
| 3668     | 10.0-knielsen                   |
| 3669     | 10.0-knielsen                   |
| 3670     | 10.0-knielsen                   |
| 3671     | 10.0-knielsen                   |
| 3672     | 10.0-knielsen                   |
| 3673     | 10.0-knielsen                   |
| 3674     | 10.0-knielsen                   |
| 3675     | 10.0-knielsen                   |
| 3676     | 10.0-knielsen                   |
| 3678     | 10.0-knielsen                   |
| 3679     | 10.0-knielsen                   |
| 3681     | 10.0-knielsen                   |
| 3682     | 10.0-knielsen                   |
| 3683     | 10.0-knielsen                   |
| 3684     | 10.0-knielsen                   |
| 3685     | 10.0-knielsen                   |
| 3686     | 10.0-knielsen                   |
| 3687     | 10.0-knielsen                   |
| 3688     | 10.0-knielsen                   |
| 3689     | 10.0-knielsen                   |
| 3690     | 10.0-knielsen                   |
| 3691     | 10.0-knielsen                   |
| 3722     | 10.0-knielsen                   |
| 3779     | 10.0-knielsen                   |
| 3817     | 10.0-knielsen                   |
| 3871     | 10.0-knielsen                   |
| 3934     | 10.0-knielsen                   |
| 3960     | 10.0-knielsen                   |
| 3961     | 10.0-knielsen                   |
| 3962     | 10.0-knielsen                   |
| 3963     | 10.0-knielsen                   |
| 3964     | 10.0-knielsen                   |
| 3965     | 10.0-knielsen                   |
| 4037     | 10.0-knielsen                   |
| 4038     | 10.0-knielsen                   |
| 3546     | 10.0-mdev26                     |
| 3547     | 10.0-mdev26                     |
| 3548     | 10.0-mdev26                     |
| 3549     | 10.0-mdev26                     |
| 3550     | 10.0-mdev26                     |
| 3551     | 10.0-mdev26                     |
| 3552     | 10.0-mdev26                     |
| 3554     | 10.0-mdev26                     |
| 3555     | 10.0-mdev26                     |
| 3417     | 10.0-monty                      |
| 3418     | 10.0-monty                      |
| 3419     | 10.0-monty                      |
| 3420     | 10.0-monty                      |
| 3421     | 10.0-monty                      |
| 3422     | 10.0-monty                      |
| 3423     | 10.0-monty                      |
| 3425     | 10.0-monty                      |
| 3427     | 10.0-monty                      |
| 3428     | 10.0-monty                      |
| 3429     | 10.0-monty                      |
| 3430     | 10.0-monty                      |
| 3432     | 10.0-monty                      |
| 3433     | 10.0-monty                      |
| 3434     | 10.0-monty                      |
| 3436     | 10.0-monty                      |
| 3437     | 10.0-monty                      |
| 3438     | 10.0-monty                      |
| 3439     | 10.0-monty                      |
| 3440     | 10.0-monty                      |
| 3441     | 10.0-monty                      |
| 3442     | 10.0-monty                      |
| 3443     | 10.0-monty                      |
| 3444     | 10.0-monty                      |
| 3445     | 10.0-monty                      |
| 3446     | 10.0-monty                      |
| 3447     | 10.0-monty                      |
| 3448     | 10.0-monty                      |
| 3470     | 10.0-monty                      |
| 3473     | 10.0-monty                      |
| 3476     | 10.0-monty                      |
| 3477     | 10.0-monty                      |
| 3479     | 10.0-monty                      |
| 3480     | 10.0-monty                      |
| 3501     | 10.0-monty                      |
| 3505     | 10.0-monty                      |
| 3506     | 10.0-monty                      |
| 3510     | 10.0-monty                      |
