MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+
| rev  | repository                                        | branch                                |
|  392 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  393 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  394 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  395 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  396 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  397 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  398 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  399 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  400 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  401 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  402 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  403 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  404 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  405 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  406 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  407 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
